Id,SalePrice
2658,143921.35712010285
2718,166113.74974217452
2414,210876.80199454998
1989,111975.03588114727
625,163228.8884195753
333,104211.8980233981
1327,109415.44989583157
858,149874.79965328577
95,182319.95464737873
1568,165144.29463275356
2482,160287.0031943334
1364,123338.75727998967
2584,145602.1442013659
818,294018.09024105757
2673,157493.73967468008
2089,125770.07651758246
1297,149416.54833698383
790,114075.81929169345
2616,183869.48626021727
720,211474.18153690718
222,152025.34228391323
557,121729.75203592148
1148,192333.70541320575
2766,153516.99502624635
534,190719.07859378954
1452,121862.76687036522
630,116729.86153390365
2648,114295.31511480853
125,157754.58598059957
1904,69070.10848699181
1670,109151.13176456981
756,96986.83316822775
717,228632.17158216043
1032,165849.9197907945
852,209686.24791865738
1731,168493.94282073237
2639,124662.59954359985
2071,88311.13611421427
1267,118994.14901144191
1851,182629.54699213384
567,150237.24661109288
2439,212992.36698246285
1898,144002.15057577592
647,150617.44910547996
2256,212744.97722011016
979,108255.20306093931
1444,221472.25586738504
2485,113491.37150897185
157,122481.44807686987
88,122525.44762261522
2003,106989.03109267371
186,190809.5065641044
1425,246983.31151680904
2695,120246.45821317492
738,96158.07926745439
395,159250.10764198622
1353,153257.80122602967
1878,130371.26334345063
390,168384.52627911716
1456,241360.58058848995
1103,352583.58967232594
1387,119095.14186474722
2070,142461.04417176972
1199,179900.35684047514
2479,173350.27801733965
501,295377.7170318988
2362,96163.86850372287
1718,196121.21119364916
2188,86816.51938809162
1483,162368.3549405801
2557,85575.60742245523
437,371382.7690044305
2224,170369.6921601362
1628,174965.34783650306
397,135203.80517191175
587,194079.60636520706
971,135796.03832978752
2611,139506.70006874404
1887,104233.37780479241
2399,374654.8666655125
2148,207657.7105178709
304,105340.05105039947
1997,134138.90182269932
2817,107016.26468455233
1431,180173.86258915113
427,324749.62500703346
263,123219.5006560006
598,174101.6621695375
2895,230220.0181227009
687,147489.7873813037
1822,136800.71626849633
2191,100307.0430220278
179,126106.92841891314
1009,200093.34938011746
2010,121636.33845291992
1991,136545.29553293047
1411,163635.85365358563
1721,220677.64334481434
1144,186522.15364461284
593,226430.72968127546
575,338710.3481673361
1249,165227.50370229298
1604,118491.80159581678
1064,550368.9170569757
1923,159993.287180133
1988,116016.56652873919
2325,174672.2918448597
114,205044.7395818449
2700,182743.67042287558
217,128381.71762447883
343,179076.27762998085
386,229049.79610255288
2005,109226.78255326276
2908,137624.89804346446
1814,240582.83730640178
2446,635607.6583899264
208,144540.0706864632
1679,112163.40639681005
822,331065.68816182273
6,206752.14767456622
1781,421793.2132411517
2397,260738.4207500309
2340,294154.99853663874
1618,170225.62824585175
2843,124094.61873085621
1061,368879.9391236188
2786,131235.92034736084
1935,135570.8953283005
1341,114382.36264271737
521,271327.2569172892
2136,129865.00192958674
996,189936.0425738518
227,141045.54596765226
135,184920.48416924482
1167,156198.24673676217
294,208084.17205244233
1776,202309.6879019696
540,172564.63518071378
1717,192679.54242423776
2303,131158.77160826247
116,196000.1543328908
127,122948.7860719619
1371,124151.1598149045
1014,135997.99186474778
1507,103174.8893415226
702,137880.7464233834
750,137612.19914588594
261,153241.49772389256
1559,79245.15502866414
577,211111.15202828235
2812,201255.54237534886
2080,154116.0160253819
1368,112658.47226449447
2376,118105.18493724371
659,114239.27891180813
1235,135350.38764790603
332,84769.57363430939
1917,145799.851999269
2094,246452.2795651208
1460,247434.17281978927
1471,210547.55513602227
1509,121952.24103417202
1922,133929.7909410412
433,598913.3421830977
460,247365.12780848437
1116,239612.63105322726
1137,171800.55625186747
53,166199.4185246557
2354,268086.47337765753
1475,196444.2122140759
1761,891255.0077727962
842,139354.91192095133
2739,152997.8985215917
2509,154067.86586367208
1007,205134.34191230516
2610,194646.12156906945
1952,93732.26159753655
2719,172745.62548540672
2921,94920.79327737275
1966,129148.91032191584
292,102985.13722588145
1204,193320.13911362275
1829,256222.39493280795
2419,183636.20849241054
391,149573.3431711776
798,111731.8133950809
481,207629.51109956327
193,192975.54556444933
555,113176.1456198003
899,73038.43918529189
2357,178089.65530020103
328,123642.33947906128
1356,108665.20157084471
1154,108427.38023807056
1730,184044.04881295242
2249,149321.87581769962
1119,269321.5941657893
2856,132296.81352856682
1394,121897.53531860239
2587,111330.21725008529
61,303587.9996300247
2661,164428.8598843225
2711,135525.87539095298
1147,184833.1269171302
757,124676.65052728262
2623,90490.78502397578
2378,139280.15153110938
1413,150227.32350268675
1722,209766.69596742612
1112,220170.7004754276
1623,195859.29823566662
1201,195903.30780674162
1513,120891.10160021199
957,638576.3754180513
1171,262292.0301276183
1145,195995.5661730161
2726,235825.79750877453
703,155466.51449367806
760,93161.39497682339
1964,138428.31027219896
2512,172631.44015656124
159,145381.07781133192
1281,159983.42572001106
468,191409.78536510633
290,121441.13729219482
665,106000.8430545984
1463,267188.0958386668
1792,221610.15940926614
923,130172.70522644237
500,259314.46235895928
1408,172294.71855815267
331,85579.4626154857
170,102350.94715027038
2192,99598.38507737157
2571,340790.64407065714
2314,175858.4409506606
2647,98619.00950551343
422,461363.70088965807
2457,383237.68644319667
1838,193957.27025257563
2805,262345.0416435689
1645,153275.4105406016
1711,293221.3003594045
2825,255382.84587857846
322,339864.17885224026
2103,251334.19014313899
342,119430.24322532717
600,121637.39006044716
488,182716.8975816303
1725,295526.98749840184
2246,274473.7680738687
2847,145792.4158127869
806,255399.26467625838
530,225343.47391291166
963,201875.92195299693
2678,91941.0099466564
171,87222.3312307542
2401,469821.0122823725
805,227585.12164915208
2259,239213.58352889735
1748,183647.97071823815
1361,137241.1408728288
1677,118489.0305932039
1406,141273.6487380748
2322,259338.0328822674
688,147428.22064892642
143,140971.46393782098
804,210496.47932628673
1214,149648.44439917695
2828,136582.76895133316
1999,191884.46828437012
2467,185710.13017635327
2665,148106.2344892535
1538,340776.8481557562
398,116251.07042576626
2822,130218.21460054543
2157,147801.13314802322
1856,194902.7808729084
1269,93568.25901403054
2570,116868.95477496761
2320,239789.21450837073
1517,130983.87344190634
2304,118820.53228698121
1312,98282.8297534189
2012,133162.98995977791
506,257451.49429826243
2865,213466.81470321133
2367,108670.45304127407
554,90440.53889019479
238,129633.22617427385
1954,119529.657062742
2488,142176.98235195575
2291,88324.55652948342
1969,100001.3008826674
2725,154995.7075857131
1482,162368.3549405801
2763,189775.87080766977
503,245965.5604758668
1584,247432.36028779694
1531,120585.94090639544
2210,164233.1393237648
459,316973.44868683285
556,131674.8323857307
1347,128169.02026048089
1290,83626.09406907024
1388,95818.97059401724
1571,387167.9904419554
2754,194896.78720562148
765,143484.66319012712
2494,130416.72808523844
2870,204025.5850400125
7,200604.24993220682
1114,263267.7615729374
2418,281663.30563953076
291,130191.27367066272
18,317724.7132389177
39,388280.05042062467
1001,232396.31906364922
2442,228599.7916743062
616,109764.2365250342
2680,77612.21179719883
1414,115414.21461838885
289,134348.01771384972
40,236523.02505898706
860,120806.070633663
409,137548.97741323317
673,144803.69750124155
2427,165422.98081314663
2036,216880.89657797513
2564,138222.09082418738
642,153015.7942818755
1008,181170.11153741617
1908,144809.51598882786
2519,184349.22694843076
1369,103325.48471847817
2855,151077.7713168373
712,107632.73439553863
1943,108234.87534213453
1958,127693.4816481996
107,153071.30506875948
2295,197025.20321197945
704,96193.36199119735
676,141324.463699176
259,180422.83731886907
93,306652.89661661803
106,236160.28089153732
2315,170331.7695170841
1050,111732.00445489999
1095,215233.60632202262
2709,145638.24878982923
758,125037.71187311265
1496,166369.7989827194
2370,129628.40098167902
2458,281890.3035458244
2733,133910.617863977
161,278216.39742820704
726,145323.8789824654
845,201365.52973412408
947,257859.46781552475
2232,114713.05261992912
2563,148717.15365643607
2299,143221.12906516518
211,76851.26118225277
605,156052.0774192335
1478,198006.28328881084
2247,269371.56520266505
2274,178130.96904232563
2869,201641.29309016495
967,212380.70070596412
2656,120576.4065239436
667,201799.54929630866
1042,115879.63972742316
2023,150397.6844719636
2447,415805.53443591914
2055,115248.44550917456
2275,277235.0931184569
2204,162330.57852356293
1563,262799.5765617916
483,209542.20170776025
796,130297.23495149607
1526,138028.16834733414
2042,131331.73443040389
442,359505.66337706253
1693,314922.10849735106
1468,224705.3853509855
1430,176206.57896539723
2605,138800.33279327993
1529,200455.80885608762
335,150678.76621165892
1287,130825.85660794079
31,104378.78380023455
1785,294442.3220091985
82,159382.09816089584
2620,119612.53068625536
252,188821.3498422796
721,71090.30657453375
2165,187039.23696164793
2316,181687.85303893872
775,124128.11315122037
1558,92755.98627973262
17,225502.91953213132
1022,235970.11497725028
925,113312.10150218189
438,263285.77874998434
1270,114759.42007466094
1272,118437.15555930097
215,143519.65159268328
266,229818.41702095568
2402,257036.73230409264
1250,127663.74686412576
1984,114239.6825056524
1279,136349.07718651972
377,274493.5212784701
1252,97814.49868635465
2156,277696.07236330427
499,334799.14229389216
1374,129233.34582404776
2898,254337.14143399193
401,117062.08969648188
2721,135565.67009968456
2078,227979.3707213782
2589,120755.9872605776
1946,191606.09586153444
1334,123661.19515144805
2781,233574.30140989256
431,412713.9517614432
576,193481.1523569094
1474,207666.1240483006
2254,136123.84523537173
2155,299037.6525821679
885,100592.47885684043
643,133095.29083072458
1944,125138.18664775268
480,201250.39730503666
2845,101967.44911321349
2387,291052.94116117526
2407,195235.74819587602
2527,159943.47347455626
2514,155755.0184461946
629,125841.48479723491
80,222457.1895688493
1876,137033.87655957573
1546,127792.01332632336
2518,175585.79015533216
2347,164038.32021199135
783,223541.07468315403
1322,57664.030593335985
194,94263.06336358936
1770,294695.9647705932
2143,128248.4552787226
1229,203261.47838192122
511,300430.2250192339
46,213965.59455252977
1348,141104.60531944147
2465,183807.30883604987
387,235043.65318690077
873,222727.6642140252
1918,119207.00940094622
2764,245382.94457012226
2184,117045.81676734803
934,146490.2420418476
1920,130749.25831195827
2631,141244.97435299135
1768,867357.5852923818
2040,111211.33179631621
1749,215499.8580228602
834,242662.39611064465
1457,240201.46304982796
79,120067.23967029955
2302,129566.80823306528
1817,144065.00295849555
2755,221797.24928191683
359,178608.16360838216
2059,111647.81810563174
2092,255933.20391893003
2516,222050.28709311516
150,117386.78965872315
1656,139607.01406212317
83,95399.49836954438
2411,187710.53507726753
795,79070.45386672551
2312,220456.65007194426
2917,105503.33978041107
1624,184119.42798080484
2215,278589.1192573659
1211,156473.48971113982
1485,164592.39197176907
1024,170772.8176003313
570,198548.72328351968
2874,132304.7696951328
700,114075.67721368684
2756,200200.9099756447
2022,168176.4346232324
583,223564.71103561955
2392,353555.25378963986
2424,190973.3742692086
212,104166.92427951936
736,127698.02034031789
1610,143963.85705803966
890,112905.09989512154
467,201186.91193787154
578,223849.60386276586
1747,186056.2233119838
1149,162035.390172152
2758,281755.9805100592
857,143900.0933438425
2219,237692.0557588474
733,107287.46231080954
2909,120252.45043471284
1798,255533.0083544114
235,122235.64469486041
2366,133578.1010596546
1027,133375.0763544442
1195,133570.5955445766
1303,67761.92034335481
148,169627.61214322405
608,160523.56910430218
2515,187564.66404020903
821,256576.176580495
2500,278223.19418340945
745,103198.01802285096
741,121734.58284942257
1611,96800.93308512158
2532,120581.7181142527
1081,225907.69710078253
1692,465450.6701425342
2520,172017.2242477379
276,111062.40018258608
1992,135405.05053848054
663,69039.58086234509
418,127349.87537363914
1733,195599.11295559435
2359,152661.35665885464
253,180612.00219059756
1518,189179.5264078925
2035,135765.78379733628
2919,88903.2515185349
1540,241361.34296768857
2120,143166.80131694896
1674,172162.25033367737
256,150018.72806254786
2361,101381.80387038163
978,85790.49967924185
2280,135460.87493727962
2095,226677.77645815376
1709,325051.30724866537
2801,258892.79811445833
1246,110038.57068592081
2373,107101.64857213976
1055,266380.79573915177
2017,116279.21310827041
1099,255143.9419290005
1344,87493.59143189389
835,170346.07769983774
1117,208831.49877056564
2043,98011.61187623613
2085,127891.2416325047
410,144661.08893571087
2650,116748.817069275
2867,164883.56102616197
1668,115323.83655564478
1161,159039.66183261218
2122,174893.74846314668
2539,145085.80371447845
1047,141391.04179625216
1445,121869.82476095011
541,133277.4203304499
569,215793.3015992826
1276,117398.1549772911
918,138445.47372714884
326,166195.4639798865
1936,130785.15385407333
895,98936.237322856
257,145192.9522399514
1241,185834.8012504635
1545,122491.06837390947
1189,182450.8295205904
270,153562.0822753074
2066,157699.15746311872
693,107342.19369131845
1259,128533.58298634802
2916,143000.5854913101
2321,272368.0521367176
1977,110421.46487590167
1895,142235.1581900018
1240,158423.86656210647
85,148634.0282354027
1823,119694.22491284655
825,306372.1698173771
110,231595.95145932905
697,126937.9027916587
2297,114717.61150507073
1231,134375.11242342857
1355,120852.5917358728
968,362527.0047061744
584,215853.55491271973
1315,126315.26721783333
1606,147594.63263106992
206,105552.98631605478
1685,355224.15924380044
2016,131294.01188880607
869,204727.8371246847
2135,127637.50153064655
2346,178979.61070392383
2430,235845.66394163042
2198,89944.7619999723
2652,124044.66877640998
27,114882.9616602017
241,168759.21935119014
906,118136.46307599074
1506,116818.57082284348
2098,362743.2699800434
1435,220531.03585043093
2213,116347.12893332294
1274,130856.02591793776
743,50659.67336790012
1737,189776.27671299508
2797,288854.9346598027
2185,78622.57056841413
58,164714.40569919848
830,193425.32564374164
808,122528.37195623611
680,129643.47406076654
1153,117290.85034124982
1291,132935.79991424087
1818,144767.05961029863
2161,181852.67114255446
1883,116734.09398639
350,376977.0287845214
2473,143497.11916819637
295,174071.29799654346
293,174766.6628924016
859,123239.6206128594
288,71777.41182949783
1578,142339.17312684882
102,172504.18584879112
2831,150433.07365644976
1030,164567.39441501102
2551,144449.0374728381
1286,137924.95980638024
958,321409.1359039549
776,130724.22415665339
72,235267.1242795715
2263,250719.3376478545
1866,153947.25982567086
2876,79740.05117218778
2146,261446.54586708042
103,171190.67355774457
1500,135184.5142400066
492,181361.31454519083
167,135546.883836196
2597,123972.24085343661
2685,108272.10698786443
1035,157276.2096474095
1220,78031.10134707943
2602,149959.04433037434
2159,210983.57387002252
695,140922.82233763704
1109,261276.33468756627
640,174715.2815557629
1652,156522.53515771776
2090,179194.07366533598
1188,182937.72505057178
2345,256273.08021652192
1059,446933.3359187194
2751,231986.24270920551
128,208943.16633243553
1523,167490.4384220794
2925,192504.9798492903
2145,314874.2743137856
1121,204109.94528468628
566,260606.49752705183
565,261170.72971563184
1331,130073.68136035628
2928,119518.44223514936
156,139157.4035347917
797,127910.69022258115
327,100020.65080939775
2859,124720.36026007654
1453,121223.0434300433
1762,363211.907183703
1868,211021.24199817213
1760,175147.79213842563
1113,248283.03293906068
1812,192619.03783034653
117,158584.42011130476
1142,210212.54951367277
2342,394574.36308326136
927,127978.6232007149
2478,174520.27569903404
655,85746.82075596623
2064,125291.09286950127
369,269755.4020416549
2239,109424.40252423682
2732,208516.18607373876
1653,168724.6596581566
959,196856.38934892937
2395,332088.7442935875
1412,113371.55297729973
271,241814.2244851444
1484,164592.39197176907
1497,152403.97029011443
552,169987.77468093092
2,119060.96336513522
1855,320634.63590054715
4,268665.31315876514
2292,152118.16520582518
134,145873.89240062583
646,106167.01721478386
42,291015.8419041455
532,218590.50460508105
713,92036.9233674319
2561,127298.02828022138
2360,122188.26537410024
1333,127318.12580318938
1407,221679.1926146174
2892,295803.85689910117
574,207159.45665434437
1227,171671.19247449335
2591,189848.76387998983
1476,212871.72477701685
1125,245454.03238983572
1446,146195.24683320834
408,122632.38256147093
1101,291877.74933822866
2251,201423.40081575132
373,188253.14039546286
