Id,SalePrice
2658,133995.6714891779
2718,164638.77778431858
2414,202314.39016778267
1989,110732.85586729604
625,176965.00031134736
333,101945.19609682536
1327,109473.52044879923
858,153979.80129987205
95,178810.20124892445
1568,162779.78942097604
2482,158240.7933215496
1364,125781.4359466565
2584,148566.6414513007
818,303127.66374746425
2673,153212.3508026984
2089,128302.02853772824
1297,139549.99637298286
790,113824.97943754883
2616,193400.12100218277
720,195435.36638179925
222,157931.20851691556
557,125989.78678362448
1148,199940.11281943842
2766,173745.52508941246
534,182579.44589544326
1452,122278.08259061526
630,125212.41193724578
2648,114105.59677959235
125,155119.0142606929
1904,65579.65987828259
1670,110350.86860935023
756,96410.12055084933
717,221401.31221187714
1032,159454.53141896919
852,215129.32877479086
1731,170310.0377765326
2639,115446.89656668137
2071,90406.1460917284
1267,121218.68152356808
1851,187092.3185602489
567,152163.36575383006
2439,208687.79747925082
1898,149668.4199190439
647,165150.72519691952
2256,232497.14330779048
979,107063.63748259198
1444,222781.95821458404
2485,116042.22724149213
157,134520.16866387049
88,120688.24158035946
2003,109935.82711793137
186,187790.7109054534
1425,246280.88728778192
2695,128784.78104428074
738,99088.41058211279
395,158184.15845910565
1353,147426.246235604
1878,132428.6415813011
390,159923.26582908933
1456,238613.71215551835
1103,352680.6090097116
1387,120598.70391776314
2070,146920.9154584108
1199,167440.270159108
2479,172453.0694047692
501,315009.4167371123
2362,97024.37802624376
1718,194516.32210063902
2188,97736.14732479394
1483,165804.53227979987
2557,89439.63946240323
437,367071.98150299117
2224,174440.1931582976
1628,169650.04710577684
397,139750.17270548802
587,188847.21899056915
971,130434.62849061974
2611,140895.03996223636
1887,105681.44697062841
2399,375158.8501703008
2148,203502.54680861678
304,108087.134527902
1997,138855.25653372143
2817,117958.43424564945
1431,194091.73063563718
427,311981.57987726666
263,123012.3854683551
598,161214.7946929705
2895,224481.0459484134
687,138015.98646274887
1822,141823.1712601149
2191,98433.88177181533
179,117498.46065911136
1009,198851.02275133194
2010,130627.78046414081
1991,133326.44615627642
1411,189592.7234838904
1721,214489.07893789405
1144,186669.9401909511
593,219591.04050607193
575,337566.72567208926
1249,164274.51796812876
1604,117825.21251910554
1064,774434.910024869
1923,161689.86237291087
1988,114918.48920997835
2325,172065.00433594568
114,192320.38784974368
2700,177224.6574725233
217,121927.38185984784
343,173751.04478960438
386,222882.0828238592
2005,114150.21423855417
2908,132682.393469533
1814,247193.13879447783
2446,595754.7332426269
208,133620.52878002735
1679,114473.47627415996
822,326786.40561279433
6,195438.23532233833
1781,411585.76250254706
2397,267463.51719469
2340,295170.4262947459
1618,170279.51627312243
2843,125100.5321896586
1061,374744.3081161836
2786,136178.56896716857
1935,137299.41502753118
1341,125507.20185871921
521,266635.1813521033
2136,134858.66255554935
996,197364.22630531332
227,138739.0295733508
135,182765.49982267144
1167,156549.33368750173
294,225408.45842680385
1776,197968.07759192493
540,163093.93725972713
1717,192367.18560305898
2303,128851.5279154201
116,185057.0690073886
127,129788.89713171318
1371,131042.75493645288
1014,121054.65184403358
1507,103504.72844841648
702,125761.52527009377
750,138966.3236619029
261,149816.00307394972
1559,79638.1099904731
577,208818.49533412495
2812,201683.5316752272
2080,153218.79519091154
1368,110027.50215141613
2376,122653.03180673385
659,109632.0005364308
1235,135257.42791560857
332,87128.88601440571
1917,146874.3839491149
2094,264142.1683263725
1460,261502.5597294746
1471,219224.20061528956
1509,123241.75338440323
1922,131278.9099317106
433,589524.1640972418
460,237709.51053295223
1116,230976.08024990422
1137,164949.8355645545
53,167847.0104952316
2354,273810.67412901844
1475,195800.72570521227
1761,1083470.2314326593
842,134165.16726951548
2739,167065.9508061715
2509,153843.88335793925
1007,202292.5530715426
2610,191743.38608149698
1952,94595.3979797785
2719,165143.77047430884
2921,98687.62594976142
1966,132306.3751864422
292,101861.95226343597
1204,185639.47498288512
1829,264442.89073436894
2419,184899.1348476427
391,146519.20968146966
798,107277.56253652557
481,203224.41420914108
193,184366.43526763064
555,117925.16984374406
899,70444.21199831809
2357,182195.41054358968
328,141348.15150169304
1356,108371.164422159
1154,104611.78884094402
1730,178305.2707111422
2249,164391.77652913664
1119,264116.8433502855
2856,140135.31180042087
1394,121086.14301980505
2587,112414.14233213394
61,313971.15175372164
2661,177279.91506396883
2711,133825.26353347782
1147,183992.32215649972
757,140108.04153457406
2623,94535.07786021018
2378,144113.02201991004
1413,142053.82758381809
1722,205816.98634232458
1112,221594.86008478134
1623,193973.1376595309
1201,187157.85192679748
1513,116088.29520246886
957,321377.36536475836
1171,264664.707845322
1145,188381.48100284676
2726,246592.71666077766
703,153951.45486042785
760,96660.03941644458
1964,143814.5045642122
2512,176260.45457196678
159,135106.47747530678
1281,159477.38553090676
468,201406.07307653356
290,124335.56518718836
665,94328.29312117869
1463,257469.90008057363
1792,217453.81652547827
923,133037.82501757622
500,256754.04381957764
1408,171565.3740139431
331,92508.86979359372
170,109720.92703378605
2192,100535.14370177133
2571,399045.03692986496
2314,171699.5138004005
2647,98229.80151960634
422,472566.7268008859
2457,354181.89461906656
1838,189045.49144744195
2805,254985.27841379092
1645,161646.73189814074
1711,291159.8054405202
2825,262649.4713337025
322,337176.2001426164
2103,251607.28854985614
342,116446.84248306652
600,127987.76049535793
488,182354.27474102017
1725,295149.78540396574
2246,293827.65882833244
2847,154172.56948468424
806,247299.36579963946
530,224057.73913177598
963,207655.0954073831
2678,97397.86253838496
171,84693.57819325513
2401,448480.6980039262
805,221038.27835074678
2259,235642.13939990645
1748,189520.84704177987
1361,133510.87685367806
1677,117422.61979598462
1406,157488.08864306472
2322,262524.10773306206
688,144294.6149028711
143,137098.6705460356
804,210574.67067378125
1214,153081.58725027606
2828,144192.23597601385
1999,189496.19076658497
2467,179922.21357634407
2665,150348.93820409116
1538,373406.7836382103
398,113958.5429644095
2822,133880.13184168405
2157,150172.20933049746
1856,196812.98683836844
1269,96775.95546888797
2570,113575.45680791509
2320,234568.6924972494
1517,124736.38759820948
2304,112938.7601170345
1312,98775.2759060906
2012,130717.91986945769
506,237479.25422985762
2865,207180.52452002154
2367,110711.77733332317
554,84108.27300211461
238,128813.26608317325
1954,120292.52214640855
2488,135013.9925881184
2291,92868.74816258828
1969,103242.19383056891
2725,158358.48974472063
1482,164057.71688993485
2763,195114.1638986617
503,246335.0862924774
1584,249224.12813994978
1531,122563.24855724724
2210,152911.82351964965
459,311288.4756061122
556,126692.00016499618
1347,133391.33200427023
1290,84664.104553834
1388,95740.08913132163
1571,237598.4892817181
2754,192418.7492780724
765,126331.54255004467
2494,125265.5550930162
2870,224444.86745221578
7,203131.16720524774
1114,250294.11809781822
2418,292756.73390529485
291,124919.95767137794
18,302069.83694054687
39,372999.1904687589
1001,234893.08277397917
2442,238064.66365172522
616,116478.92571898883
2680,74403.53940642654
1414,120707.46870596724
289,138000.88137324175
40,229561.48257869715
860,118569.69197288921
409,133339.60575101935
673,145837.59518969237
2427,173459.92887560793
2036,230524.56530336343
2564,137915.2633024843
642,145040.91973440192
1008,173614.2171563566
1908,137679.27662259815
2519,203427.67222655303
1369,95703.76500874126
2855,151601.54099113488
712,102036.37892791863
1943,105296.03364385049
1958,126103.79012659333
107,154787.45809484972
2295,166820.12747138995
704,90407.85213774274
676,130535.16109876934
259,173819.82796008917
93,291638.19995827804
106,234617.78034199236
2315,174358.19786503256
1050,108572.19644063861
1095,209445.17678296063
2709,143500.22988311388
758,127583.69217031365
1496,161321.79950594014
2370,129305.32059026544
2458,281724.8275002051
2733,133421.32702749228
161,283624.8282711845
726,147244.1295905635
845,207578.8668268524
947,254910.43168036328
2232,109840.25728940194
2563,153086.95453637833
2299,126567.13222587526
211,75684.12765175091
605,150961.4852622956
1478,197487.40864758755
2247,292921.40416765964
2274,192114.91752317786
2869,206184.0586577569
967,210855.83140482195
2656,129424.25994610235
667,187271.54203376747
1042,114049.43539449139
2023,139680.8574507014
2447,424812.9139755916
2055,126302.4992720435
2275,287119.6511634731
2204,160543.0340921984
1563,289300.0304423634
483,202495.46114282263
796,135567.1935522628
1526,143216.9300440915
2042,117665.7602137464
442,343091.8469949023
1693,314238.91863623017
1468,221101.9737337266
1430,187162.24220201446
2605,120542.55536835712
1529,189921.70695107366
335,130691.09842668267
1287,133290.50064635367
31,102260.80255712816
1785,307571.74841840717
82,161531.1622575565
2620,121258.65733811916
252,185628.4996376418
721,71819.31078974188
2165,183917.95604881953
2316,184038.46129810158
775,128571.67310265005
1558,92933.754639697
17,242180.10870950605
1022,228841.16082829385
925,119600.23330847423
438,263280.9791780928
1270,117407.42015193052
1272,116653.35052178882
215,132343.55426637677
266,223685.20297183213
2402,264610.9949182797
1250,126849.2271177956
1984,114223.68339082196
1279,137287.78767547407
377,270724.41324729094
1252,102240.48944340959
2156,270568.2215634085
499,328049.9347698848
1374,124492.27369388714
2898,257802.86791326394
401,114107.46540791012
2721,143893.8752057702
2078,256045.2420870292
2589,123453.43717293286
1946,222993.22245946983
1334,128325.30918372079
2781,233978.60511953323
431,394060.91411997576
576,202628.4724071419
1474,204309.6864707167
2254,146335.1020135562
2155,299290.32500123256
885,101746.48004964658
643,133980.21883100964
1944,122881.01883504805
480,195634.4293351826
2845,95896.9612896028
2387,306460.62265722256
2407,195094.7074067194
2527,162491.17742028364
2514,159228.10339817885
629,135419.00264815887
80,219473.15485607617
1876,137707.02507110074
1546,127907.93939436799
2518,174106.48438304872
2347,166243.20276489484
783,243948.4577606237
1322,54613.214394534916
194,91164.73792325679
1770,296799.04527562315
2143,135628.28936272906
1229,213904.63852456596
511,288999.2028470472
46,212002.4985019919
1348,144410.45859639766
